Character attributes, sorted by character frequency
Character	Radical	Rad. nr.	Plus strokes	Total strokes	Rank	Freq. abs.	Freq. Rel.	Pronounc. nr.
眉	目	109	4	9	22	1	0.0008	1	
麻	麻	200	0	11	22	1	0.0008	2	
仆	人	9	2	4	22	1	0.0008	3	
始	女	38	5	8	22	1	0.0008	1	
句	口	30	2	5	22	1	0.0008	2	
然	火	86	8	12	22	1	0.0008	1	
合	口	30	3	6	22	1	0.0008	2	
哭	口	30	7	10	22	1	0.0008	1	
明	日	72	4	8	22	1	0.0008	1	
问	門	169	3	6	22	1	0.0008	1	
给	糸	120	6	9	22	1	0.0008	2	
管	竹	118	8	14	22	1	0.0008	1	
遮	辵	162	11	15	22	1	0.0008	1	
透	辵	162	7	11	22	1	0.0008	2	
用	用	101	0	5	22	1	0.0008	1	
眼	目	109	6	11	22	1	0.0008	2	
注	水	85	5	8	22	1	0.0008	2	
复	夊	35	6	9	22	1	0.0008	1	
包	勹	20	3	5	22	1	0.0008	1	
而	而	126	0	6	22	1	0.0008	2	
裳	衣	145	8	14	22	1	0.0008	2	
初	刀	18	5	7	22	1	0.0008	1	
害	宀	40	7	10	22	1	0.0008	2	
漂	水	85	11	14	22	1	0.0008	4	
将	爿	90	6	9	22	1	0.0008	3	
疼	疒	104	5	10	22	1	0.0008	1	
口	口	30	0	3	22	1	0.0008	1	
所	戶	63	4	8	22	1	0.0008	1	
脆	肉	130	6	10	22	1	0.0008	1	
卸	卩	26	6	8	22	1	0.0008	1	
仿	人	9	4	6	22	1	0.0008	2	
条	木	75	3	7	22	1	0.0008	1	
思	心	61	5	9	22	1	0.0008	3	
嫌	女	38	10	13	22	1	0.0008	1	
弓	弓	57	0	3	22	1	0.0008	1	
擦	手	64	14	17	22	1	0.0008	1	
搀	手	64	9	12	22	1	0.0008	1	
咯	口	30	6	9	22	1	0.0008	3	
唠	口	30	7	10	22	1	0.0008	1	


Radical frequency per type
rad	rad. nr.	rank	f abs.	f rel.
口	30	1	27	0.0696
人	9	2	21	0.0541
心	61	3	16	0.0412
手	64	4	14	0.0361
水	85	5	12	0.0309
辵	162	6	10	0.0258
木	75	6	10	0.0258
肉	130	7	9	0.0232
刀	18	8	8	0.0206
女	38	8	8	0.0206
一	1	8	8	0.0206
土	32	9	7	0.0180
日	72	9	7	0.0180
目	109	9	7	0.0180
糸	120	9	7	0.0180
艸	140	10	6	0.0155
言	149	10	6	0.0155
攴	66	11	5	0.0129
阜	170	11	5	0.0129
宀	40	11	5	0.0129
大	37	11	5	0.0129
衣	145	11	5	0.0129
車	159	11	5	0.0129
金	167	11	5	0.0129
足	157	11	5	0.0129
禾	115	11	5	0.0129
又	29	12	4	0.0103
竹	118	12	4	0.0103
門	169	12	4	0.0103
彳	60	12	4	0.0103
石	112	12	4	0.0103
走	156	13	3	0.0077
弓	57	13	3	0.0077
止	77	13	3	0.0077
月	74	13	3	0.0077
二	7	13	3	0.0077
干	51	13	3	0.0077
儿	10	13	3	0.0077
丨	2	13	3	0.0077
巾	50	13	3	0.0077
火	86	13	3	0.0077
里	166	14	2	0.0052
卩	26	14	2	0.0052
邑	163	14	2	0.0052
非	175	14	2	0.0052
己	49	14	2	0.0052
冫	15	14	2	0.0052
疒	104	14	2	0.0052
十	24	14	2	0.0052
丿	4	14	2	0.0052
八	12	14	2	0.0052
襾	146	14	2	0.0052
立	117	14	2	0.0052
夕	36	14	2	0.0052
戈	62	14	2	0.0052
丶	3	14	2	0.0052
斤	69	14	2	0.0052
曰	73	14	2	0.0052
白	106	14	2	0.0052
